 ,Topic ,RP,UWYE,SE,MLE
1,Greeting,hello,ey up,oi / eh / aunty / uncle / abang,wassup
2,How are you? ,how are you?,ow do,you ok or not?,wagwan 
3,No,no,nah,cannot / your head ah,nah
4,Yes,yes,aye,got / can,yeah
5,Whatever,Whatever / anything,I've got nowt,chinchai / anything lor / anything also can,whatever man
6,Thank you ,thank you,ta ,kamsia,Safe
7,Agreement,"Yes, I agree","yeah, mate",can is can / can lah,yeah blud
8,Goodbye ,Goodbye,si'thee,bye,say nothing 
9,Description of an area,he lives in my town,he's from gods county,he from here,he comes from my ends
10,Negative description of another person,He's useless ,couldn't organise a piss up in a brewery,siao liao / gila / bochap / rabak / blur like sotong / goondu,you're a total wasteman
12,Description of a group of men,I am going out with the guys,i'm goin' out with tha lads,i'm going out with the guys,"I’m out with the mandem tonight, bruv"
13,Description of a group of women,I am going out with the girls,i'm goin' out with that lasses ,i'm going out with the girls,i'm going out with the galdam
14,A positive description of an object/experience,This song is good ,This song is a good 'un,This song sibei nice sia,This tune is bare sick
15,An expression of attractiveness,She is pretty,She's a right bonny lass,She damn chio / she's a chiobu,She’s well peng!
16,An expression of shock,oh my god ,eeh by gum,alamak / simi sai / simi daiji,Rah / we got shook innit
17,Expression of luck,you are so lucky,you're so jammy,you damn suay (unlucky),mans lucky
18,Terminology for shoes ,look at that man's shoes,look at tha man's shoon,you see that man's shoes,check out mans creps
19,An expression for exerting effort ,getting the bus is a lot of effort,gettin' the bus is a reet slog,catch bus damn shiong,"Nah man, getting the bus is long tings"
20,Expression for flirting,are you flirting with that woman?,are you chelpin' that bird,you flirting with that girl ah?,are you chirpsing that girl?
25,Asking for someone's location,Where are you?,Where’s tha bin lad? ,You where?,what ends you in? 
26,When someone's late,You're late,Tha's late,What time already? / you want to pangseh us is it,mans bare late
29,An expression for telling a joke,I am joking,i'm kiddin',talk cock only ,bantering you
31,An expression to ask someone to stop something ,stop it,pack it in,stop lah,"nah, allow it "
33,An expression of approval ,that is excellent ,that's grand,powderful / power sia,"yeah, that's proper nang"
34,An expression of disgust ,that is horrible,that's mingin',ee-yer,"nah, that's dutty"
35,An expression for disappointment ,that is rubbish ,neither use nor ornament,walao eh / how can liddat / cannot liddat lah,that's mad peak
37,An expression of assurance,it will be alright,be reyt,don't worry / can one lah / sayang sayang,yeah that's calm
40,An expression to call someone uncool ,He's not cool ,reet uncool ,come i clap for you / damn lame sia,he's proper wet 
42,An expression of confusion,I am confused,I am absolutely flummoxed,catch no ball,"nah, swear down? "
43,An expression of annoyance,I am annoyed,I'm reet miffed,sibei pekcek / guai lan / buay tahan / tak boleh tahan / don't kao pei kao bu / last warning,I'm vexed
45,An expression of embarrassment ,I'm shy / embarrassed,i'm ladged to death ,Paiseh,that's peak 
46,An expression of impatience,Please hurry up,Stop faffing ,Can hurry up? / Faster decide / think must think so long,kick up the yout